drop_id,pisco_code,MaxN,spp_drop_biomass_mean_kg,spp_drop_biomass_total_kg,pisco_code_metric
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,2,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
ANA_208,SPUL,27,NA,NA,bm_SPUL
ANA_208,SPUL,1,NA,NA,bm_SPUL
