Filename,Frame,Time_(mins),Period,Period_time_(mins),OpCode,TapeReader,Depth,Comment,Date,Site,Camera_Type,Vis,Time_of_Drop,Heading,,,Family,Genus,Species,Species_Code,MaxN,Has_fed
ANA_016_LEFT_SEG2.MP4,5682,20.8775,2,3.1832,ANA_016,JZ,45.1,N/A,10_04_2019,ANACAPA_OUT,RIG_8,11:26,,,,,Makebelieve,Caulolatilus,princeps,CPRI,10,No
ANA_016_LEFT_SEG1.MP4,18020,10.0211,1,8.4373,ANA_016,JZ,45.1,N/A,10_04_2019,ANACAPA_OUT,RIG_8,11:26,,,,,Makebelieve,Scorpaena,guttata,SGUT,1,No
ANA_016_LEFT_SEG2.MP4,13452,25.1985,2,7.5042,ANA_016,JZ,45.1,N/A,10_04_2019,ANACAPA_OUT,RIG_8,11:26,,,,,Makebelieve,Scorpaena,guttata,SGUT,1,No
ANA_016_LEFT_SEG2.MP4,17428,27.4096,2,9.7153,ANA_016,JZ,45.1,N/A,10_04_2019,ANACAPA_OUT,RIG_8,11:26,,,,,Makebelieve,Stereolepis,gigas,SGIG,1,No
ANA_017_LEFT_SEG1.MP4,16600,9.2314,1,6.4047,ANA_017,JZ,75.4,N/A,10_04_2019,ANACAPA_MPA,RIG_8,12:55,,,,,Makebelieve,Caulolatilus,princeps,CPRI,2,No
ANA_017_LEFT_SEG1.MP4,11474,6.3808,1,3.5541,ANA_017,JZ,75.4,N/A,10_04_2019,ANACAPA_MPA,RIG_8,12:55,,,,,Makebelieve,Citharichthys,sordidus,CSOR,1,No
ANA_017_LEFT_SEG1.MP4,11571,6.4348,1,3.608,ANA_017,JZ,75.4,N/A,10_04_2019,ANACAPA_MPA,RIG_8,12:55,,,,,Makebelieve,Plueronichthys,coenosus,PCOE,2,No
ANA_017_LEFT_SEG1.MP4,8901,4.9499,1,2.1232,ANA_017,JZ,75.4,N/A,10_04_2019,ANACAPA_MPA,RIG_8,12:55,,,,,Makebelieve,Sebastes,caurinus,SCAU,1,No
ANA_017_LEFT_SEG1.MP4,14600,8.1192,1,5.2925,ANA_017,JZ,75.4,N/A,10_04_2019,ANACAPA_MPA,RIG_8,12:55,,,,,Makebelieve,Sebastes,rosaceus,SROS,1,No
ANA_017_LEFT_SEG1.MP4,20324,11.3024,1,8.4757,ANA_017,JZ,75.4,N/A,10_04_2019,ANACAPA_MPA,RIG_8,12:55,,,,,Makebelieve,Sebastes,semicinctus,SSEM,4,No
ANA_018_LEFT_SEG1.MP4,7945,4.4183,1,1.6105,ANA_018,KS,59.3,,10/4/2019,Anacapa_Front_Side,Bar_3,,13:06,,,,Makebelieve,Caulolatilus,princeps,CPRI,26,No
ANA_019_LEFT_SEG1.MP4,8640,4.8048,1,2.3618,ANA_019,JE,53.1,N/A,10_04_2019,ANACAPA_MPA,1,13:16,,,,,Makebelieve,Caulolatilus,princeps,CPRI,29,No
ANA_020_LEFT_SEG1.MP4,5040,2.8028,1,0.902,ANA_020,JZ,38.3,,10/4/2019,Front Side,8,,,,,,Makebelieve,Caulolatilus,princeps,CPRI,91,No
ANA_020_LEFT_SEG2.MP4,27842,33.2009,2,1.2991,ANA_020,JZ,38.3,,10/4/2019,Front Side,8,,,,,,Makebelieve,Caulolatilus,princeps,CPRI,42,No
ANA_020_LEFT_SEG1.MP4,9027,5.02,1,3.1192,ANA_020,JZ,38.3,,10/4/2019,Front Side,8,,,,,,Makebelieve,Semicossyphus,pulcher,SPUL,2,No
ANA_020_LEFT_SEG3.MP4,2502,36.8268,2,4.9249,ANA_020,JZ,38.3,,10/4/2019,Front Side,8,,,,,,Makebelieve,Semicossyphus,pulcher,SPUL,1,No
ANA_021_LEFT_SEG2.MP4,15470,26.3207,1,24.3716,ANA_021,JZ,47.8,N/A,10_04_2019,ANACAPA_MPA,3,14:10,,,,,Makebelieve,Caulolatilus,princeps,CPRI,33,No
ANA_021_LEFT_SEG2.MP4,15102,26.1161,1,24.1669,ANA_021,JZ,47.8,N/A,10_04_2019,ANACAPA_MPA,3,14:10,,,,,Makebelieve,Scorpaena,guttata,SGUT,1,No
ANA_021_LEFT_SEG1.MP4,20942,11.6461,1,9.6969,ANA_021,JZ,47.8,N/A,10_04_2019,ANACAPA_MPA,3,14:10,,,,,Makebelieve,Sebastes,caurinus,SCAU,1,No
ANA_022_LEFT_SEG1.MP4,21136,11.754,1,9.906,ANA_022,JE,52,N/A,10_22_2019,ANACAPA_MPA,1,9:51,,,,,Makebelieve,Caulolatilus,princeps,CPRI,1,No
ANA_023_LEFT_SEG2.MP4,7896,22.1088,1,20.3459,ANA_023,JE,61,N/A,10_22_2019,ANACAPA_MPA,3,9:56,,,,,Makebelieve,Citharichthys,sordidus,CSOR,4,No
ANA_024_LEFT_SEG1.MP4,8795,4.891,1,3.038,ANA_024,JE,60,N/A,10_22_2019,ANACAPA_MPA,8,10:04,,,,,Makebelieve,Caulolatilus,princeps,CPRI,9,No
ANA_024_LEFT_SEG1.MP4,9294,5.1685,1,3.3155,ANA_024,JE,60,N/A,10_22_2019,ANACAPA_MPA,8,10:04,,,,,Makebelieve,Sebastes,caurinus,SCAU,1,No
ANA_024_LEFT_SEG1.MP4,6831,3.7988,1,1.9458,ANA_024,JE,60,N/A,10_22_2019,ANACAPA_MPA,8,10:04,,,,,Makebelieve,Sebastes,rosaceus,SROS,1,No
ANA_024_LEFT_SEG1.MP4,24176,13.4445,1,11.5916,ANA_024,JE,60,N/A,10_22_2019,ANACAPA_MPA,8,10:04,,,,,Makebelieve,Sebastes,rubrivinctus,SRUB,1,No
ANA_024_LEFT_SEG1.MP4,23080,12.835,1,10.9821,ANA_024,JE,60,N/A,10_22_2019,ANACAPA_MPA,8,10:04,,,,,Makebelieve,Semicossyphus,pulcher,SPUL,1,No
ANA_025_LEFT_SEG1.MP4,5212,2.8985,1,1.1367,ANA_025,JZ,46.9,,12/9/2019,Back side,1,,,,,,Makebelieve,Caulolatilus,princeps,CPRI,16,No
ANA_025_LEFT_SEG3.MP4,3364,37.3062,2,5.5433,ANA_025,JZ,46.9,,12/9/2019,Back side,1,,,,,,Makebelieve,Caulolatilus,princeps,CPRI,5,No
ANA_025_LEFT_SEG2.MP4,3238,19.5184,1,17.7566,ANA_025,JZ,46.9,,12/9/2019,Back side,1,,,,,,Makebelieve,Chromis,punctipinnis,CPUN,4,No
ANA_025_LEFT_SEG3.MP4,1294,36.155,2,4.3922,ANA_025,JZ,46.9,,12/9/2019,Back side,1,,,,,,Makebelieve,Chromis,punctipinnis,CPUN,1,No
ANA_025_LEFT_SEG3.MP4,2509,36.8307,2,5.0678,ANA_025,JZ,46.9,,12/9/2019,Back side,1,,,,,,Makebelieve,Oxyjulis,californica,OCAL,2,No
