drop_id,bm_AHOL,bm_COTSP,bm_CPRI,bm_CPUN,bm_CSOR,bm_CVEN,bm_EJAC,bm_GGAL,bm_HARG,bm_HRUB,bm_HSEM,bm_LDAL,bm_LHIR,bm_OCAL,bm_OELO,bm_OPIC,bm_OYT,bm_PATR,bm_PCAL,bm_PCLA,bm_PCOE,bm_PFUR,bm_PMAC,bm_RNIC,bm_RONSP,bm_RTOX,bm_RVAC,bm_SATR,bm_SAUR,bm_SCAR,bm_SCAU,bm_SCHR,bm_SENT,bm_SGIG,bm_SGUT,bm_SHOP,bm_SLAL,bm_SLUC,bm_SMAR,bm_SMIN,bm_SMYS,bm_SPAU,bm_SPIN,bm_SPUL,bm_SRAS,bm_SROS,bm_SRUB,bm_SSAG,bm_SSAX,bm_SSEM,bm_STRE,bm_SUMB,bm_TSYM,date,rig,usefulness,island,general_area,mpa_status,reserve_name,lat,long,time_in,depth,habitat,rugosity,relief,site,island_mpa
ANA_060,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,2020-05-28T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,33.999077,-119.376009,1899-12-31T12:56:00Z,53.9,mixed_soft,medium,low,Anacapa,Anacapa REF
ANA_061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-05-28T00:00:00Z,1,1,Anacapa,Back Side,REF,ANA_REF,34.003428,-119.372811,1899-12-31T13:11:00Z,46.5,soft,low,low,Anacapa,Anacapa REF
ANA_067,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2020-05-29T00:00:00Z,1,1,Anacapa,Back Side,REF,ANA_REF,34.011831,-119.345985,1899-12-31T09:55:00Z,56.7,soft,low,low,Anacapa,Anacapa REF
ANA_068,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,2020-05-29T00:00:00Z,11,1,Anacapa,Back Side,REF,ANA_REF,34.006427,-119.359003,1899-12-31T10:23:00Z,47.3,mixed_soft,medium,low,Anacapa,Anacapa REF
ANA_070,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,2020-05-29T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,33.994203,-119.402441,1899-12-31T11:33:00Z,50.1,mixed_soft,low,low,Anacapa,Anacapa REF
ANA_071,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,2020-05-29T00:00:00Z,3,2,Anacapa,Back Side,REF,ANA_REF,33.994828,-119.416688,1899-12-31T12:32:00Z,46.2,mixed_hard,high,medium,Anacapa,Anacapa REF
ANA_072,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2020-05-29T00:00:00Z,11,1,Anacapa,Back Side,REF,ANA_REF,33.999704,-119.422987,1899-12-31T12:42:00Z,33.2,soft,low,low,Anacapa,Anacapa REF
ANA_073,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,2020-05-29T00:00:00Z,1,2,Anacapa,Back Side,REF,ANA_REF,33.994338,-119.427324,1899-12-31T12:55:00Z,62.1,mixed_hard,high,medium,Anacapa,Anacapa REF
ANA_074,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,2020-05-29T00:00:00Z,1,1,Anacapa,Back Side,REF,ANA_REF,33.998093,-119.432802,1899-12-31T14:00:00Z,58.4,mixed_soft,low,low,Anacapa,Anacapa REF
ANA_077,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,2020-05-30T00:00:00Z,1,1,Anacapa,Back Side,REF,ANA_REF,33.99413,-119.439058,1899-12-31T08:54:00Z,65.4,mixed_hard,medium,low,Anacapa,Anacapa REF
