drop_id,pisco_code,biomass_kg
ANA_031,bm_CPRI,124
ANA_032,bm_CPRI,14
ANA_034,bm_CPRI,66
ANA_035,bm_CPRI,156
ANA_036,bm_CPRI,6
ANA_037,bm_CPRI,90
ANA_040,bm_CPRI,224
ANA_041,bm_CPRI,240
ANA_042,bm_CPRI,126
ANA_043,bm_CPRI,3
ANA_044,bm_CPRI,8
ANA_045,bm_CPRI,14
ANA_046,bm_CPRI,217
ANA_047,bm_CPRI,10
ANA_048,bm_CPRI,210
ANA_050,bm_CPRI,98
ANA_051,bm_CPRI,125
ANA_052,bm_CPRI,24
ANA_054,bm_CPRI,6
ANA_056,bm_CPRI,36
ANA_057,bm_CPRI,78
ANA_058,bm_CPRI,34
ANA_059,bm_CPRI,150
ANA_060,bm_CPRI,76
ANA_061,bm_CPRI,1
ANA_067,bm_CPRI,32
ANA_068,bm_CPRI,150
ANA_070,bm_CPRI,96
ANA_071,bm_CPRI,88
ANA_072,bm_CPRI,30
ANA_073,bm_CPRI,144
ANA_074,bm_CPRI,405
ANA_077,bm_CPRI,68
ANA_078,bm_CPRI,20
ANA_079,bm_CPRI,21
ANA_080,bm_CPRI,2
ANA_081,bm_CPRI,182
ANA_082,bm_CPRI,69
ANA_083,bm_CPRI,252
ANA_084,bm_CPRI,180
ANA_085,bm_CPRI,72
ANA_086,bm_CPRI,9
ANA_087,bm_CPRI,85
ANA_090,bm_CPRI,4
ANA_093,bm_CPRI,135
ANA_094,bm_CPRI,236
ANA_095,bm_CPRI,42
ANA_096,bm_CPRI,48
ANA_097,bm_CPRI,156
ANA_098,bm_CPRI,40
ANA_099,bm_CPRI,63
ANA_100,bm_CPRI,128
ANA_101,bm_CPRI,120
ANA_102,bm_CPRI,3
ANA_103,bm_CPRI,2
ANA_104,bm_CPRI,20
ANA_109,bm_CPRI,2
ANA_110,bm_CPRI,57
ANA_112,bm_CPRI,282
ANA_114,bm_CPRI,176
ANA_116,bm_CPRI,12
ANA_117,bm_CPRI,1
ANA_118,bm_CPRI,26
ANA_119,bm_CPRI,32
ANA_120,bm_CPRI,49
ANA_121,bm_CPRI,7
ANA_122,bm_CPRI,1
ANA_123,bm_CPRI,12
ANA_125,bm_CPRI,90
ANA_126,bm_CPRI,6
ANA_127,bm_CPRI,12
ANA_128,bm_CPRI,4
ANA_130,bm_CPRI,174
ANA_131,bm_CPRI,120
ANA_132,bm_CPRI,174
ANA_133,bm_CPRI,45
ANA_134,bm_CPRI,261
ANA_135,bm_CPRI,42
ANA_136,bm_CPRI,18
ANA_137,bm_CPRI,6
ANA_140,bm_CPRI,25
ANA_144,bm_CPRI,30
ANA_145,bm_CPRI,48
ANA_146,bm_CPRI,120
ANA_147,bm_CPRI,24
ANA_148,bm_CPRI,190
ANA_149,bm_CPRI,88
ANA_150,bm_CPRI,140
ANA_151,bm_CPRI,30
ANA_152,bm_CPRI,54
ANA_154,bm_CPRI,312
ANA_156,bm_CPRI,225
ANA_157,bm_CPRI,96
ANA_159,bm_CPRI,5
ANA_160,bm_CPRI,189
ANA_161,bm_CPRI,240
ANA_162,bm_CPRI,12
ANA_163,bm_CPRI,60
ANA_164,bm_CPRI,135
ANA_165,bm_CPRI,126
ANA_167,bm_CPRI,24
ANA_168,bm_CPRI,30
ANA_169,bm_CPRI,366
ANA_173,bm_CPRI,9
